SampleDate,Location,N1_Concentration_Merged,N2_Concentration_Merged,N/PMMoV,PV_Concentration_Merged
2021-11-03,North Davis A,0.0,0.0,0.0,352000.0
2021-11-03,North Davis B,11.297884,0.0,0.0,488000.0
2021-11-03,North Davis C,0.0,11.2117481,0.0,1140000.0
2021-11-03,North Davis D,0.0,0.0,0.0,2100000.0
2021-11-03,The Cannery,0.0,10.6987822,0.0,127000.0
2021-11-03,Far East Davis,0.0,0.0,0.0,340000.0
2021-11-03,North Central Davis,0.0,0.0,0.0,377000.0
2021-11-03,Central Davis,0.0,0.0,0.0,0.0
2021-11-03,East Central Davis A,0.0,65.1797438,0.0015723333333333334,305000.0
2021-11-03,North J,0.0,0.0,0.0,153000.0
2021-11-03,8th and J,0.0,0.0,0.0,423000.0
2021-11-03,Rancho Yolo: East 8th Street,0.0,0.0,0.0,312000.0
2021-11-03,South Davis/El Macero,0.0,0.0,0.0,102000.0
2021-11-03,Peregrine School (downstream),0.0,0.0,0.0,402000.0
2021-11-03,Peregrine School (upstream),0.0,10.7063007,0.0,591000.0
2021-11-03,Arroyo A,0.0,0.0,0.0,274000.0
2021-11-03,Arroyo B,0.0,0.0,0.0,631000.0
2021-11-03,East Central Davis B,0.0,10.7214022,0.0,456000.0
2021-11-03,Rancho Yolo/Research Park,0.0,0.0,0.0,159000.0
2021-10-28,COD WWTP,0.0,0.0,0.0,351000.0
2021-10-29,COD WWTP,0.0,0.0,0.0,380000.0
2021-10-30,COD WWTP,0.0,35.0207734,0.0,310000.0
2021-10-31,COD WWTP,0.0,0.0,0.0,540000.0
2021-11-01,COD WWTP,0.0,61.5847254,0.001376,291000.0
2021-11-02,COD WWTP,0.0,0.0,0.0,461000.0
2021-11-03,COD WWTP,0.0,0.0,0.0,458000.0
2021-11-03,Rancho Yolo: Pole Line north of 5th,0.0,0.0,0.0,0.0
2021-11-03,Cantrill Drive,0.0,0.0,0.0,0.0
2021-11-03,Olive Drive,0.0,0.0,0.0,380000.0
2021-10-29,Arroyo A,10.4579246,20.9161496,0.0,263000.0
2021-11-11,Old East Davis/Wildhorse,0.0,0.0,0.0,71400.0
2021-11-11,Far West Davis,0.0,0.0,0.0,312000.0
2021-11-11,North Davis A,0.0,0.0,0.0,703000.0
2021-11-11,North Davis B,11.1983752,11.1983752,0.0,655000.0
